State_Name,District_Name,Subdistrict Name,Facility_Type,Facility_Name,Facility_Address,Latitude,Longitude,Location_Type,Type_Of_Facility
Goa,South Goa,Canacona,chc,Canacona CHC,NA,14.993115,74.047638,Rural,Public
Goa,South Goa,Quepem,chc,Curchorem CHC,NA,15.25,74.1,Rural,Public
Goa,North Goa,Satari,chc,Valpoi CHC,NA,15.529127,74.130622,Rural,Public
Goa,North Goa,Pernem,chc,Pernem CHC,NA,15.690465,73.792968,Rural,Public
Goa,South Goa,Salcete,dis_h,South Goa District Hospital,NA,15.279731,73.96053,Rural,Public
Goa,North Goa,Tiswadi,dis_h,Goa Medical College Hospital,NA,15.464203,73.858606,Rural,Public
Goa,North Goa,Bardez,dis_h,North Goa District Hospital,NA,15.5970007,73.820519,Rural,Public
Goa,South Goa,Quepem,phc,BALI PHC,NA,15.1557,74.021213,Rural,Public
Goa,South Goa,Salcete,phc,CHINCHINIM PHC,NA,15.214866,73.977126,Rural,Public
Goa,South Goa,Quepem,phc,QUEPEM PHC,NA,15.2167,74.0667,Rural,Public
Goa,South Goa,Sanguem,phc,SANGUEM PHC,NA,15.227416,74.157588,Rural,Public
Goa,South Goa,Salcete,phc,Navelim PHC,NA,15.261603,73.956555,Rural,Public
Goa,South Goa,Salcete,phc,CURTORIM PHC,NA,15.286398,74.024137,Rural,Public
Goa,South Goa,Salcete,phc,Margao UHC,NA,15.294203,73.953996,Urban,Public
Goa,South Goa,Ponda,phc,SHIRODA PHC,NA,15.319935,74.022746,Rural,Public
Goa,South Goa,Salcete,phc,LOUTOLIM PHC,NA,15.337606,73.986852,Rural,Public
Goa,South Goa,Mormugao,phc,CANSAULIM PHC,NA,15.34811,73.897769,Rural,Public
Goa,South Goa,Dharbandora,phc,Dharbandora PHC,NA,15.387483,74.121292,Rural,Public
Goa,South Goa,Mormugao,phc,CORTALIM PHC,NA,15.401964,73.906521,Rural,Public
Goa,South Goa,Ponda,phc,PHC Ponda,NA,15.402962,74.00845,Rural,Public
Goa,South Goa,Mormugao,phc,Vasco UHC,NA,15.406974,73.789933,Urban,Public
Goa,South Goa,Ponda,phc,MARCAIM PHC,NA,15.420318,73.950123,Rural,Public
Goa,North Goa,Tiswadi,phc,Mandur RHC,NA,15.45,73.916667,Rural,Public
Goa,North Goa,Tiswadi,phc,St. Cruz Health Center,NA,15.480894,73.843483,Rural,Public
Goa,North Goa,Tiswadi,phc,CORLIM PHC,NA,15.493982,73.9333,Rural,Public
